Kco2  (mm/ano^0,5);Tempo (anos);Xc (mm)
2,3;146;27,79100574
2,3;147;27,886018
2,3;148;27,98070764
2,3;149;28,07507792
2,3;150;28,16913204
2,3;151;28,26287317
2,3;152;28,35630441
2,3;153;28,44942882
2,3;154;28,54224939
2,3;155;28,63476908
2,3;156;28,72699079
2,3;157;28,8189174
2,3;158;28,91055171
2,3;159;29,00189649
2,3;160;29,09295447
2,3;161;29,18372834
2,3;162;29,27422074
2,3;163;29,36443427
2,3;164;29,45437149
2,3;165;29,54403493
2,3;166;29,63342707
2,3;167;29,72255036
2,3;168;29,81140721
2,3;169;29,9
2,3;170;29,98833106
2,3;171;30,07640271
2,3;172;30,16421721
2,3;173;30,25177681
2,3;174;30,3390837
2,3;175;30,42614008
2,3;176;30,51294807
2,3;177;30,5995098
2,3;178;30,68582735
2,3;179;30,77190277
2,3;180;30,85773809
2,3;181;30,94333531
2,3;182;31,0286964
2,3;183;31,11382329
2,3;184;31,19871792
2,3;185;31,28338217
2,3;186;31,3678179
2,3;187;31,45202696
2,3;188;31,53601116
2,3;189;31,6197723
2,3;190;31,70331213
2,3;191;31,78663241
2,3;192;31,86973486
2,3;193;31,95262118
2,3;194;32,03529304
2,3;195;32,1177521
2,3;196;32,2
2,3;197;32,28203835
2,3;198;32,36386874
2,3;199;32,44549275
2,3;200;32,52691193
2,3;201;32,60812782
2,3;202;32,68914193
2,3;203;32,76995575
2,3;204;32,85057077
2,3;205;32,93098845
2,3;206;33,01121022
2,3;207;33,09123751
2,3;208;33,17107173
2,3;209;33,25071428
2,3;210;33,33016652
2,3;211;33,40942981
2,3;212;33,48850549
2,3;213;33,56739489
2,3;214;33,64609933
2,3;215;33,72462009
2,3;216;33,80295845
2,3;217;33,88111568
2,3;218;33,95909304
2,3;219;34,03689175
2,3;220;34,11451304
2,3;221;34,19195812
2,3;222;34,26922818
2,3;223;34,3463244
2,3;224;34,42324796
2,3;225;34,5
2,3;226;34,57658167
2,3;227;34,6529941
2,3;228;34,7292384
2,3;229;34,80531569
2,3;230;34,88122704
2,3;231;34,95697355
2,3;232;35,03255629
2,3;233;35,1079763
2,3;234;35,18323464
2,3;235;35,25833235
2,3;236;35,33327044
2,3;237;35,40804993
2,3;238;35,48267183
2,3;239;35,55713712
2,3;240;35,63144679
2,3;241;35,7056018
2,3;242;35,77960313
2,3;243;35,85345172
2,3;244;35,92714851
2,3;245;36,00069444
2,3;246;36,07409043
2,3;247;36,14733738
2,3;248;36,22043622
2,3;249;36,29338783
2,3;250;36,36619309
2,3;251;36,43885289
2,3;252;36,51136809
2,3;253;36,58373956
2,3;254;36,65596814
2,3;255;36,72805467
2,3;256;36,8
2,3;257;36,87180495
2,3;258;36,94347033
2,3;259;37,01499696
2,3;260;37,08638564
2,3;261;37,15763717
2,3;262;37,22875233
2,3;263;37,2997319
2,3;264;37,37057666
2,3;265;37,44128737
2,3;266;37,51186479
2,3;267;37,58230967
2,3;268;37,65262275
2,3;269;37,72280477
2,3;270;37,79285647
2,3;271;37,86277856
2,3;272;37,93257176
2,3;273;38,00223678
2,3;274;38,07177432
2,3;275;38,14118509
2,3;276;38,21046977
2,3;277;38,27962905
2,3;278;38,3486636
2,3;279;38,4175741
2,3;280;38,48636122
2,3;281;38,55502561
2,3;282;38,62356793
2,3;283;38,69198883
2,3;284;38,76028896
2,3;285;38,82846894
2,3;286;38,89652941
2,3;287;38,964471
2,3;288;39,03229432
2,3;289;39,1
2,3;290;39,16758864
2,3;291;39,23506085
2,3;292;39,30241723
2,3;293;39,36965837
2,3;294;39,43678486
2,3;295;39,50379729
2,3;296;39,57069623
2,3;297;39,63748226
2,3;298;39,70415595
2,3;299;39,77071787
2,3;300;39,83716857
2,4;1;2,4
2,4;2;3,39411255
2,4;3;4,156921938
2,4;4;4,8
2,4;5;5,366563146
2,4;6;5,878775383
2,4;7;6,349803147
2,4;8;6,788225099
2,4;9;7,2
2,4;10;7,589466384
2,4;11;7,959899497
2,4;12;8,313843876
2,4;13;8,653323061
2,4;14;8,979977728
2,4;15;9,295160031
2,4;16;9,6
2,4;17;9,895453501
2,4;18;10,18233765
2,4;19;10,46135746
2,4;20;10,73312629
