Ano;Tempo de Exposição (s)  (t);"RHreal: Média da umidade relativa da camada carbonatada [%];";"RHref: umidade relativa de referência [%];";Expoente fe [-] ;Expoente ge [-] ;"Ke = Coeficiente ambiental [adimensional];";"bc: expoente da regressão [-]; ";tc: período de cura [d].;"Kc = Coeficiente de condição de cura [adimensional];";Cs = Concentração de CO2 no ar – [%];"W(t) = Coeficiente climático [adimensional];";DCO2 = Coeficiente de difusão no concreto carbonatado;a = Teor de CO2 em 1m³ de concreto;Rc = Resistência  à carbonatação natural do concreto (mm²/anos) /(kg/m³).;Xc (t) Profundidade de carbonatação (mm)
97;3058992000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,227056103;8,913E-08;68,02521;1,31E-09;19,743623
98;3090528000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,226573236;8,913E-08;68,02521;1,31E-09;19,802930
99;3122064000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,226096283;8,913E-08;68,02521;1,31E-09;19,861810
100;3153600000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,225625112;8,913E-08;68,02521;1,31E-09;19,920271
101;3185136000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,225159596;8,913E-08;68,02521;1,31E-09;19,978320
102;3216672000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,224699613;8,913E-08;68,02521;1,31E-09;20,035963
103;3248208000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,224245044;8,913E-08;68,02521;1,31E-09;20,093208
104;3279744000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,223795774;8,913E-08;68,02521;1,31E-09;20,150061
105;3311280000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,22335169;8,913E-08;68,02521;1,31E-09;20,206528
106;3342816000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,222912684;8,913E-08;68,02521;1,31E-09;20,262616
107;3374352000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,222478651;8,913E-08;68,02521;1,31E-09;20,318331
108;3405888000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,222049489;8,913E-08;68,02521;1,31E-09;20,373679
109;3437424000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,221625098;8,913E-08;68,02521;1,31E-09;20,428666
110;3468960000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,221205384;8,913E-08;68,02521;1,31E-09;20,483296
111;3500496000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,220790252;8,913E-08;68,02521;1,31E-09;20,537576
112;3532032000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,220379612;8,913E-08;68,02521;1,31E-09;20,591512
113;3563568000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,219973376;8,913E-08;68,02521;1,31E-09;20,645108
